gene,scale_w
ACOT7,0.182692307692308
ACYP1,0.0384615384615385
ADAR,0.0865384615384615
ADSL,0.0128205128205128
AHCY,0.00764299802761341
AIMP2,0.0384615384615385
AK6,0.102564102564103
AKAP5,0.21474358974359
APOBEC3H,0.0120967741935484
ATP5MC1,0.0107808857808858
ATP5MC3,0.0154509283819629
ATP5MF,0.00179269882659713
ATP5PF,0.00284900284900285
BCKDK,0.0101809954751131
CMPK2,0.326923076923077
COX5A,0.00961538461538461
CPNE7,0.158653846153846
CYB5A,0.0114182692307692
CYC1,0.00262237762237762
DCPS,0.00470540098199673
DCTPP1,0.098249506903353
DDX39A,0.00358220211161388
DHFR,0.349358974358974
DPM2,0.0576923076923077
DTYMK,0.102564102564103
DUT,0.158653846153846
EBNA1BP2,0.00219298245614035
EBP,0.0324519230769231
ECHS1,0.00124069478908189
EEF1E1,0.00568181818181818
ENO1,0.0170359531772575
EXOSC8,0.00412087912087912
EZH2,0.0670405982905983
GALK1,0.0421597633136095
GALNT2,0.0651709401709402
GAPDH,0.0784965034965035
GGCT,0.00641025641025641
GGH,0.21474358974359
GLRX,0.000430539609644087
GNG5,0.0201073854920009
GUSB,0.020979020979021
HADH,0.0299773755656109
HDAC2,0.000139353400222966
IMPDH2,0.00106837606837607
INPP1,0.00603756708407871
LAGE3,0.0016025641025641
LAMTOR2,0.0299773755656109
LAMTOR3,0.125
LMCD1,0.0184294871794872
LSM4,0.0366207553707554
LSM5,0.046866594943518
MAGOHB,0.0490192656708083
MED24,0.00721153846153846
MIF,0.000901442307692308
MINPP1,0.0324519230769231
MPC2,0
MTHFD2,0.000282805429864254
NADSYN1,0.046474358974359
NCOR2,0.0421597633136095
NDUFA2,0.000739644970414202
NDUFA8,0.00680112570356473
NDUFB1,0.00568181818181818
NDUFB2,0.00641025641025641
NDUFB3,0.0135941644562334
NDUFC2,0.0224358974358974
NDUFS4,0.000582750582750583
NHP2,0.0273668639053254
NME1,0.233440170940171
NME2,0.0745192307692308
NOP10,0.00412087912087912
NSD2,0.0515734265734266
NUDT1,0.0539529914529914
NUDT2,0.102564102564103
NUDT21,0.0019893899204244
NUP37,0.0258097165991903
NUP62,0.00179269882659713
PAFAH1B3,0.0101809954751131
PARP10,0.0515734265734266
PDE3B,0.663461538461538
PEMT,0.0128205128205128
PGAM1,0.0114182692307692
PKM,0.0273279352226721
PLIN3,0.00308417997097242
PLPP1,0.0240384615384615
PMVK,0.014185357645052
POLD2,0.0331103678929766
POLR3K,0.00219298245614035
POP4,0.00141866330390921
POP7,0.0352564102564103
PPA1,0.00440705128205128
PPIH,0.00721153846153846
PPIL1,0.0153133903133903
PRKAR1B,0.00534188034188034
PSMA2,0.0120967741935484
PSMA4,0.0153133903133903
PSMB2,0.0153219422087347
PSMD5,0.0745192307692308
RPL26L1,0.0224358974358974
RPL39L,0.0745192307692308
RPLP0,0.00603756708407871
RRM1,0.026288434183171
RRM2,0.663461538461538
SGMS1,0.0384615384615385
SHMT2,0.0518162393162393
SLC7A5,0.0576923076923077
SMS,0.00908119658119658
SNRNP25,0.0196488294314381
SNRNP48,0.0277777777777778
SNRPA,0.00534188034188034
SNRPC,0.00440705128205128
SNRPE,0.0162721893491124
SQLE,0.046474358974359
SRM,0.0197449126858132
TACO1,0.00240384615384615
TK1,0.495192307692308
TKT,0.00501672240802676
TPI1,0.0173076923076923
TXN,0.00358220211161388
TYMS,1
UROD,0.0651709401709402
WDR77,0.0107808857808858
